//TEST CASE 1 - KATTIS TEST 
//CORRECT ANSWER: 4200
//RESULT: PASS
4 4
1000 1
2000 2
500 2
1200 0

//TEST CASE 2 - KATTIS TEST
//CORRECT ANSWER: 3000
//RESULT: PASS
3 4
1000 0
2000 1
500 1

//TEST CASE 3 - A LARGE TIME
//CORRECT ANSWER: 9200
//RESULT: 
4 3
1000 1
2000 5
5000 15
1200 0

//TEST CASE 4 - MANY VALUES
//CORRECT ANSWER: 125
7 4
35 3
30 4
25 4 
20 2
15 3
12 1
5 2

//TEST CASE 5 - VALUES WITH THE SAME INDEX
//CORRECT ANSWER: 1700
4 3
200 0
100 0
1500 3
200 0

//TEST CASE 6 
//CORRECT ANSWER: 14200
5 1
5 0
4200 7
1500 0
3600 8 
10000 47

//TEST CASE 7
//CORRECT ANSWER: 5100
5 2
1500 2
1600 2
2000 2
1500 2
300 2

//TEST CASE 8
//CORRECT ANSWER: 17200
8 2
1500 2
1600 2
2000 2
1500 2
300 2
10000 47
5000 35
2200 37

//TEST CASE 9
//CORRECT ANSWER: 3000
3 4
1000 0
2000 1
500 1

//TEST CASE 10
//CORRECT ANSWER: 17553
6 35
10000 45
2 13
5000 32
1000 15
51 45
1500 43

//Correct Answer: 2000
4 4
1000 0
2000 0
500 0
1200 0

//Correct Answer: 1000
4 3
1000 0
1000 0
1000 0
1000 0

//Correct Answer: 8200
4 2
1000 30
2000 47
5000 15
1200 5

//Correct Answer: 8200
4 2
1000 47
2000 47
5000 47
1200 47

//Correct Anser: 3000
4 2
1000 47
1000 47
1000 47
1000 47

//Correct Answer: 400
4 1
100 0
200 1
200 1
100 0

//CORRECT ANSWER: 15000
6 35
10000 45
2 0
5000 0
1000 0
51 0
1500 0

//Correct Answer: 10000
6 35
10000 0
2 0
5000 0
1000 0
51 0
1500 0

Correct Answer: 10000
1 1
10000 0

Correct Answer: 10000
2 1
10000 0
5000 0

Correct Answer: 15000
2 1
10000 0
5000 1

//Correct Answer: 15000
6 1
10000 0
5000 1
3000 0
100 0
1200 1
1500 1

6 1
1 1
1 1
1 1
1 1
1 1
1 1

12 6
35 3
30 4
25 4 
20 2
15 3
12 1
5 2
24 0
33 0
25 0
14 1
13 1

5 3
1500 2
1000 0
1000 1
1000 2
1000 4

